orb_index = 34, gpp_a = 2.67037e-05
orb_index = 35, gpp_a = 2.66962e-05
orb_index = 36, gpp_a = 2.66658e-05
orb_index = 37, gpp_a = 2.66263e-05
orb_index = 38, gpp_a = 2.66623e-05
orb_index = 39, gpp_a = 2.66615e-05
orb_index = 40, gpp_a = 2.66533e-05
orb_index = 41, gpp_a = 2.65879e-05
orb_index = 42, gpp_a = 2.65657e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -19.994, A_a =  278.242120908
 orb_index = 0, gpp_a = 0.162768
orb_index = 1, gpp_a = 0.165259
orb_index = 2, gpp_a = 0.182636
orb_index = 3, gpp_a = 0.212856
orb_index = 4, gpp_a = 0.359455
orb_index = 5, gpp_a = 0.341493
orb_index = 6, gpp_a = 0.366751
orb_index = 7, gpp_a = 0.367521
orb_index = 8, gpp_a = 0.373981
orb_index = 9, gpp_a = 0.409021
orb_index = 10, gpp_a = 0.485586
orb_index = 11, gpp_a = 0.567833
orb_index = 12, gpp_a = 0.658989
orb_index = 13, gpp_a = 0.769117
orb_index = 14, gpp_a = 0.961262
orb_index = 15, gpp_a = 1.10012
orb_index = 16, gpp_a = 3.71338
orb_index = 17, gpp_a = 2.92919e-05
orb_index = 18, gpp_a = 2.92804e-05
orb_index = 19, gpp_a = 2.92513e-05
orb_index = 20, gpp_a = 2.92094e-05
orb_index = 21, gpp_a = 2.92035e-05
orb_index = 22, gpp_a = 2.91766e-05
orb_index = 23, gpp_a = 2.90341e-05
orb_index = 24, gpp_a = 2.90346e-05
orb_index = 25, gpp_a = 2.90308e-05
orb_index = 26, gpp_a = 2.90143e-05
orb_index = 27, gpp_a = 2.89777e-05
orb_index = 28, gpp_a = 2.89816e-05
orb_index = 29, gpp_a = 2.8975e-05
