orb_index = 1, gpp_a = 0.0083387
orb_index = 2, gpp_a = 0.00340791
orb_index = 3, gpp_a = 0.00222778
orb_index = 4, gpp_a = 0.00221897
orb_index = 5, gpp_a = 0.00281044
orb_index = 6, gpp_a = 0.00284801
orb_index = 7, gpp_a = 0.00279028
orb_index = 8, gpp_a = 2.88842e-05
orb_index = 9, gpp_a = 2.88631e-05
orb_index = 10, gpp_a = 1.77112e-08
orb_index = 11, gpp_a = 1.30511e-08
orb_index = 12, gpp_a = 1.22667e-08
orb_index = 13, gpp_a = 1.48646e-08
orb_index = 14, gpp_a = 1.5057e-08
orb_index = 15, gpp_a = 1.47365e-08
orb_index = 16, gpp_a = 3.1807e-12
orb_index = 17, gpp_a = 1.1836e-13
orb_index = 18, gpp_a = 3.33872e-14
orb_index = 19, gpp_a = 1.44503e-10
orb_index = 20, gpp_a = 4.81659e-11
orb_index = 21, gpp_a = 4.57089e-11
orb_index = 22, gpp_a = 1.52632e-11
orb_index = 23, gpp_a = 1.02532e-11
orb_index = 24, gpp_a = 1.75608e-09
orb_index = 25, gpp_a = 1.17938e-09
orb_index = 26, gpp_a = 2.28589e-09
orb_index = 27, gpp_a = 1.08439e-09
orb_index = 28, gpp_a = 1.01932e-09
orb_index = 29, gpp_a = 7.9305e-10
orb_index = 30, gpp_a = 7.91438e-10
orb_index = 31, gpp_a = 2.81988e-10
orb_index = 32, gpp_a = 1.78811e-10
orb_index = 33, gpp_a = 2.86652e-11
orb_index = 34, gpp_a = 7.87251e-10
orb_index = 35, gpp_a = 5.23397e-11
orb_index = 36, gpp_a = 2.06428e-11
orb_index = 37, gpp_a = 1.10764e-12
orb_index = 38, gpp_a = 1.19188e-12
orb_index = 39, gpp_a = 1.10276e-13
w = -19.994, A_a =  0.0331050442763
 orb_index = 0, gpp_a = 0.00961404
orb_index = 1, gpp_a = 0.00953303
orb_index = 2, gpp_a = 0.0037093
orb_index = 3, gpp_a = 0.00238588
orb_index = 4, gpp_a = 0.00237636
orb_index = 5, gpp_a = 0.00303582
orb_index = 6, gpp_a = 0.00307821
orb_index = 7, gpp_a = 0.0030134
orb_index = 8, gpp_a = 2.91239e-05
orb_index = 9, gpp_a = 2.91016e-05
orb_index = 10, gpp_a = 1.92807e-08
orb_index = 11, gpp_a = 1.4112e-08
orb_index = 12, gpp_a = 1.31651e-08
orb_index = 13, gpp_a = 1.60581e-08
orb_index = 14, gpp_a = 1.62732e-08
orb_index = 15, gpp_a = 1.59103e-08
orb_index = 16, gpp_a = 3.47781e-12
orb_index = 17, gpp_a = 1.29741e-13
orb_index = 18, gpp_a = 3.63512e-14
orb_index = 19, gpp_a = 1.62141e-10
orb_index = 20, gpp_a = 5.27556e-11
orb_index = 21, gpp_a = 5.09141e-11
orb_index = 22, gpp_a = 1.65781e-11
orb_index = 23, gpp_a = 1.11719e-11
orb_index = 24, gpp_a = 1.9957e-09
orb_index = 25, gpp_a = 1.30091e-09
orb_index = 26, gpp_a = 2.64354e-09
orb_index = 27, gpp_a = 1.19954e-09
orb_index = 28, gpp_a = 1.11352e-09
orb_index = 29, gpp_a = 8.61801e-10
orb_index = 30, gpp_a = 8.57338e-10
orb_index = 31, gpp_a = 3.06132e-10
orb_index = 32, gpp_a = 1.94521e-10
orb_index = 33, gpp_a = 3.10239e-11
orb_index = 34, gpp_a = 8.50654e-10
orb_index = 35, gpp_a = 5.65126e-11
orb_index = 36, gpp_a = 2.23215e-11
orb_index = 37, gpp_a = 1.18659e-12
orb_index = 38, gpp_a = 1.28156e-12
orb_index = 39, gpp_a = 1.24716e-13
w = -19.929, A_a =  0.0368043716965
 orb_index = 0, gpp_a = 0.00842195
orb_index = 1, gpp_a = 0.00835533
